Date,CNY,EUR,USD
12-07-2001,0.307779,2.17424,2.5423
13-07-2001,0.309171,2.18664,2.5538
16-07-2001,0.31451,2.22205,2.5979
17-07-2001,0.306338,2.17774,2.5304
18-07-2001,0.298978,2.15951,2.4696
19-07-2001,0.303045,2.18588,2.5032
20-07-2001,0.297489,2.1458,2.4573
23-07-2001,0.291859,2.09941,2.4108
24-07-2001,0.293542,2.12389,2.4247
25-07-2001,0.301617,2.19677,2.4914
26-07-2001,0.300673,2.18318,2.4836
27-07-2001,0.302307,2.19405,2.4971
30-07-2001,0.294595,2.13224,2.4334
31-07-2001,0.29433,2.13283,2.4313
01-08-2001,0.30186,2.20236,2.4935
02-08-2001,0.301158,2.20321,2.4877
03-08-2001,0.301243,2.20408,2.4884
06-08-2001,0.298894,2.18196,2.469
07-08-2001,0.296146,2.15162,2.4463
08-08-2001,0.299064,2.17801,2.4704
09-08-2001,0.298628,2.20519,2.4668
10-08-2001,0.300734,2.22522,2.4842
13-08-2001,0.301557,2.23829,2.491
14-08-2001,0.304342,2.27379,2.514
15-08-2001,0.302708,2.2896,2.5005
16-08-2001,0.301158,2.27315,2.4877
17-08-2001,0.305492,2.32101,2.5235
20-08-2001,0.306351,2.31742,2.5306
21-08-2001,0.30692,2.32933,2.5353
22-08-2001,0.305443,2.31206,2.5231
23-08-2001,0.306061,2.31724,2.5282
24-08-2001,0.3087,2.33238,2.55
27-08-2001,0.309729,2.33631,2.5585
28-08-2001,0.309475,2.33414,2.5564
29-08-2001,0.308385,2.32184,2.5474
30-08-2001,0.307526,2.33138,2.5403
31-08-2001,0.308909,2.33061,2.5517
03-09-2001,0.309793,2.32755,2.559
04-09-2001,0.310423,2.28174,2.5642
05-09-2001,0.31075,2.28029,2.5669
06-09-2001,0.313873,2.32733,2.5927
10-09-2001,0.314914,2.3439,2.6013
11-09-2001,0.319224,2.41634,2.6369
12-09-2001,0.323727,2.42983,2.6741
13-09-2001,0.326596,2.46513,2.6978
14-09-2001,0.326693,2.48989,2.6986
17-09-2001,0.322977,2.46797,2.6679
18-09-2001,0.324357,2.48897,2.6793
19-09-2001,0.32765,2.5137,2.7065
20-09-2001,0.330761,2.53757,2.7322
21-09-2001,0.339053,2.56448,2.8007
24-09-2001,0.335034,2.54017,2.7675
25-09-2001,0.328473,2.50834,2.7133
26-09-2001,0.330059,2.52291,2.7264
27-09-2001,0.327468,2.48714,2.705
28-09-2001,0.323392,2.43584,2.6713
01-10-2001,0.325244,2.46888,2.6866
02-10-2001,0.327327,2.48928,2.7038
03-10-2001,0.330341,2.49746,2.7287
04-10-2001,0.330813,2.51197,2.7326
05-10-2001,0.333404,2.53412,2.754
08-10-2001,0.336891,2.56563,2.7828
09-10-2001,0.336515,2.5447,2.7797
10-10-2001,0.336358,2.53433,2.7784
11-10-2001,0.33654,2.51345,2.7799
15-10-2001,0.336431,2.52988,2.779
16-10-2001,0.333235,2.50612,2.7526
17-10-2001,0.329421,2.46138,2.7211
18-10-2001,0.332012,2.4854,2.7425
19-10-2001,0.333804,2.48336,2.7573
22-10-2001,0.328997,2.42858,2.7176
23-10-2001,0.328901,2.42378,2.7168
24-10-2001,0.332169,2.45665,2.7438
25-10-2001,0.332048,2.45411,2.7428
26-10-2001,0.330377,2.44067,2.729
29-10-2001,0.329845,2.46645,2.7246
30-10-2001,0.329663,2.46836,2.7231
31-10-2001,0.327726,2.44167,2.7071
01-11-2001,0.324688,2.42869,2.682
05-11-2001,0.317279,2.35439,2.6208
06-11-2001,0.314797,2.34014,2.6003
07-11-2001,0.315426,2.33726,2.6055
08-11-2001,0.309567,2.28693,2.5571
09-11-2001,0.306855,2.27045,2.5347
12-11-2001,0.308732,2.28689,2.5502
13-11-2001,0.305923,2.23271,2.527
14-11-2001,0.306274,2.23957,2.5299
16-11-2001,0.3074,2.24908,2.5392
19-11-2001,0.304519,2.21818,2.5154
20-11-2001,0.306891,2.24181,2.535
21-11-2001,0.30763,2.23627,2.5411
22-11-2001,0.307291,2.23355,2.5383
23-11-2001,0.304277,2.21114,2.5134
26-11-2001,0.301371,2.19625,2.4894
27-11-2001,0.29786,2.17485,2.4604
28-11-2001,0.300923,2.20965,2.4857
29-11-2001,0.303526,2.23127,2.5072
30-11-2001,0.306114,2.27064,2.5287
03-12-2001,0.298669,2.20382,2.4672
04-12-2001,0.294033,2.16693,2.4289
05-12-2001,0.294238,2.15872,2.4306
06-12-2001,0.2958,2.18998,2.4435
07-12-2001,0.290595,2.14088,2.4005
10-12-2001,0.285438,2.10029,2.3579
11-12-2001,0.283477,2.09101,2.3417
12-12-2001,0.285099,2.11924,2.3551
13-12-2001,0.288682,2.13275,2.3847
14-12-2001,0.288597,2.16075,2.384
17-12-2001,0.28545,2.13388,2.358
18-12-2001,0.283634,2.1203,2.343
19-12-2001,0.277581,2.0684,2.293
20-12-2001,0.280874,2.08737,2.3202
21-12-2001,0.282193,2.07665,2.3311
24-12-2001,0.283004,2.048,2.3378
26-12-2001,0.280184,2.03847,2.3145
27-12-2001,0.281031,2.05463,2.3215
28-12-2001,0.280898,2.05388,2.3204
31-12-2001,0.280918,2.06363,2.3204
02-01-2002,0.279248,2.08852,2.3066
03-01-2002,0.277625,2.06537,2.2932
04-01-2002,0.279671,2.07227,2.3101
07-01-2002,0.28363,2.09574,2.3428
08-01-2002,0.283945,2.09549,2.3454
09-01-2002,0.288061,2.12253,2.3794
10-01-2002,0.289296,2.13474,2.3896
11-01-2002,0.292589,2.15952,2.4168
14-01-2002,0.291427,2.15528,2.4072
15-01-2002,0.286984,2.10677,2.3705
16-01-2002,0.288945,2.11114,2.3867
17-01-2002,0.286209,2.08689,2.3641
18-01-2002,0.287553,2.10405,2.3752
21-01-2002,0.287432,2.10222,2.3742
22-01-2002,0.286524,2.09794,2.3667
23-01-2002,0.288182,2.09366,2.3804
24-01-2002,0.290325,2.10874,2.3981
25-01-2002,0.291112,2.08318,2.4046
28-01-2002,0.293315,2.09095,2.4228
29-01-2002,0.293388,2.10068,2.4234
30-01-2002,0.295204,2.10515,2.4384
31-01-2002,0.292774,2.08247,2.4183
01-02-2002,0.292508,2.08541,2.4161
04-02-2002,0.293319,2.11253,2.4228
05-02-2002,0.29315,2.10089,2.4214
06-02-2002,0.293053,2.10552,2.4206
07-02-2002,0.29683,2.13609,2.4518
08-02-2002,0.298924,2.16055,2.4691
13-02-2002,0.293367,2.11772,2.4232
14-02-2002,0.293573,2.12382,2.4249
15-02-2002,0.295159,2.13066,2.438
18-02-2002,0.293997,2.11838,2.4284
19-02-2002,0.293573,2.12867,2.4249
20-02-2002,0.293997,2.11765,2.4284
21-02-2002,0.293476,2.10978,2.4241
22-02-2002,0.293864,2.12883,2.4273
25-02-2002,0.291309,2.09564,2.4062
26-02-2002,0.289917,2.07269,2.3947
27-02-2002,0.288464,2.06684,2.3827
28-02-2002,0.284287,2.04419,2.3482
01-03-2002,0.285668,2.04467,2.3596
04-03-2002,0.283682,2.04218,2.3432
05-03-2002,0.281491,2.03036,2.3251
06-03-2002,0.284748,2.06468,2.352
07-03-2002,0.286479,2.09522,2.3663
08-03-2002,0.285498,2.06517,2.3582
11-03-2002,0.284348,2.0599,2.3487
12-03-2002,0.284457,2.06116,2.3496
13-03-2002,0.282907,2.05016,2.3368
14-03-2002,0.283791,2.07158,2.3441
15-03-2002,0.285014,2.08098,2.3542
18-03-2002,0.283367,2.06872,2.3406
19-03-2002,0.283682,2.07219,2.3432
20-03-2002,0.283053,2.0718,2.338
21-03-2002,0.284203,2.07529,2.3475
22-03-2002,0.284602,2.06527,2.3508
25-03-2002,0.286212,2.07837,2.3641
26-03-2002,0.28453,2.06474,2.3502
27-03-2002,0.282944,2.04388,2.3371
28-03-2002,0.281279,2.02603,2.3236
01-04-2002,0.281085,2.04903,2.322
02-04-2002,0.278688,2.02856,2.3022
03-04-2002,0.278143,2.02873,2.2977
04-04-2002,0.27985,2.03286,2.3118
05-04-2002,0.277502,2.0197,2.2924
08-04-2002,0.277296,2.00697,2.2907
09-04-2002,0.276509,2.01544,2.2842
10-04-2002,0.275129,2.00516,2.2728
11-04-2002,0.274899,2.00916,2.2709
12-04-2002,0.278276,2.02579,2.2988
15-04-2002,0.280601,2.04271,2.318
16-04-2002,0.280504,2.04804,2.3172
17-04-2002,0.280419,2.06457,2.3165
18-04-2002,0.28238,2.08204,2.3327
19-04-2002,0.281678,2.07896,2.3269
22-04-2002,0.282622,2.08056,2.3347
23-04-2002,0.284317,2.09209,2.3487
24-04-2002,0.285298,2.10874,2.3568
25-04-2002,0.286484,2.12793,2.3666
26-04-2002,0.285177,2.12882,2.3558
29-04-2002,0.286762,2.14469,2.3689
30-04-2002,0.285991,2.12944,2.3625
02-05-2002,0.287746,2.1506,2.377
03-05-2002,0.292334,2.21968,2.4149
06-05-2002,0.294489,2.23701,2.4327
07-05-2002,0.292637,2.21665,2.4174
08-05-2002,0.294659,2.20494,2.4341
09-05-2002,0.296813,2.23431,2.4519
10-05-2002,0.300675,2.27381,2.4838
13-05-2002,0.302055,2.27801,2.4952
14-05-2002,0.3045,2.27481,2.5154
15-05-2002,0.304052,2.29634,2.5117
16-05-2002,0.300203,2.26528,2.4799
17-05-2002,0.299767,2.2833,2.4763
20-05-2002,0.299452,2.28239,2.4737
21-05-2002,0.300058,2.28328,2.4787
22-05-2002,0.30283,2.31939,2.5016
23-05-2002,0.306219,2.33498,2.5296
24-05-2002,0.305541,2.32955,2.524
27-05-2002,0.305396,2.32845,2.5228
28-05-2002,0.305638,2.34949,2.5248
29-05-2002,0.305069,2.36327,2.5201
31-05-2002,0.305329,2.35975,2.522
03-06-2002,0.307665,2.39459,2.5413
04-06-2002,0.311104,2.41956,2.5697
05-06-2002,0.315813,2.45514,2.6086
06-06-2002,0.319832,2.50753,2.6418
07-06-2002,0.323343,2.5265,2.6708
10-06-2002,0.319215,2.49504,2.6367
11-06-2002,0.322811,2.53381,2.6664
12-06-2002,0.332762,2.59873,2.7486
13-06-2002,0.325934,2.54432,2.6922
14-06-2002,0.32907,2.57505,2.7181
17-06-2002,0.324736,2.53658,2.6823
18-06-2002,0.323247,2.54632,2.67
19-06-2002,0.327242,2.59158,2.703
20-06-2002,0.332992,2.65996,2.7505
21-06-2002,0.337896,2.71588,2.791
24-06-2002,0.342242,2.7494,2.8269
25-06-2002,0.338925,2.74796,2.7995
26-06-2002,0.346055,2.81236,2.8584
27-06-2002,0.346164,2.83155,2.8593
28-06-2002,0.344335,2.82448,2.8444
01-07-2002,0.346163,2.84119,2.8595
02-07-2002,0.352773,2.87795,2.9141
03-07-2002,0.34643,2.81131,2.8617
